S-box 1
d1310ba6  98dfb5ac  2ffd72db  d01adfb7  b8e1afed  6a267e96  ba7c9045  f12c7f99  
24a19947  b3916cf7  0801f2e2  858efc16  636920d8  71574e69  a458fea3  f4933d7e  
0d95748f  728eb658  718bcd58  82154aee  7b54a41d  c25a59b5  9c30d539  2af26013  
c5d1b023  286085f0  ca417918  b8db38ef  8e79dcb0  603a180e  6c9e0e8b  b01e8a3e  
d71577c1  bd314b27  78af2fda  55605c60  e65525f3  aa55ab94  57489862  63e81440  
55ca396a  2aab10b6  b4cc5c34  1141e8ce  a15486af  7c72e993  b3ee1411  636fbc2a  
2ba9c55d  741831f6  ce5c3e16  9b87931e  afd6ba33  6c24cf5c  7a325381  28958677  
3b8f4898  6b4bb9af  c4bfe81b  66282193  61d809cc  fb21a991  487cac60  5dec8032  
ef845d5d  e98575b1  dc262302  eb651b88  23893e81  d396acc5  0f6d6ff3  83f44239  
2e0b4482  a4842004  69c8f04a  9e1f9b5e  21c66842  f6e96c9a  670c9c61  abd388f0  
6a51a0d2  d8542f68  960fa728  ab5133a3  6eef0b6c  137a3be4  ba3bf050  7efb2a98  
a1f1651d  39af0176  66ca593e  82430e88  8cee8619  456f9fb4  7d84a5c3  3b8b5ebe  
e06f75d8  85c12073  401a449f  56c16aa6  4ed3aa62  363f7706  1bfedf72  429b023d  
37d0d724  d00a1248  db0fead3  49f1c09b  075372c9  80991b7b  25d479d8  f6e8def7  
e3fe501a  b6794c3b  976ce0bd  04c006ba  c1a94fb6  409f60c4  5e5c9ec2  196a2463  
68fb6faf  3e6c53b5  1339b2eb  3b52ec6f  6dfc511f  9b30952c  cc814544  af5ebd09  
bee3d004  de334afd  660f2807  192e4bb3  c0cba857  45c8740f  d20b5f39  b9d3fbdb  
5579c0bd  1a60320a  d6a100c6  402c7279  679f25fe  fb1fa3cc  8ea5e9f8  db3222f8  
3c7516df  fd616b15  2f501ec8  ad0552ab  323db5fa  fd238760  53317b48  3e00df82  
9e5c57bb  ca6f8ca0  1a87562e  df1769db  d542a8f6  287effc3  ac6732c6  8c4f5573  
695b27b0  bbca58c8  e1ffa35d  b8f011a0  10fa3d98  fd2183b8  4afcb56c  2dd1d35b  
9a53e479  b6f84565  d28e49bc  4bfb9790  e1ddf2da  a4cb7e33  62fb1341  cee4c6e8  
ef20cada  36774c01  d07e9efe  2bf11fb4  95dbda4d  ae909198  eaad8e71  6b93d5a0  
d08ed1d0  afc725e0  8e3c5b2f  8e7594b7  8ff6e2fb  f2122b64  8888b812  900df01c  
4fad5ea0  688fc31c  d1cff191  b3a8c1ad  2f2f2218  be0e1777  ea752dfe  8b021fa1  
e5a0cc0f  b56f74e8  18acf3d6  ce89e299  b4a84fe0  fd13e0b7  7cc43b81  d2ada8d9  
165fa266  80957705  93cc7314  211a1477  e6ad2065  77b5fa86  c75442f5  fb9d35cf  
ebcdaf0c  7b3e89a0  d6411bd3  ae1e7e49  00250e2d  2071b35e  226800bb  57b8e0af  
2464369b  f009b91e  5563911d  59dfa6aa  78c14389  d95a537f  207d5ba2  02e5b9c5  
83260376  6295cfa9  11c81968  4e734a41  b3472dca  7b14a94a  1b510052  9a532915  
d60f573f  bc9bc6e4  2b60a476  81e67400  08ba6fb5  571be91f  f296ec6b  2a0dd915  
b6636521  e7b9f9b6  ff34052e  c5855664  53b02d5d  a99f8fa1  08ba4799  6e85076a 
