S-box 3
e93d5a68  948140f7  f64c261c  94692934  411520f7  7602d4f7  bcf46b2e  d4a20068  
d4082471  3320f46a  43b7d4b7  500061af  1e39f62e  97244546  14214f74  bf8b8840  
4d95fc1d  96b591af  70f4ddd3  66a02f45  bfbc09ec  03bd9785  7fac6dd0  31cb8504  
96eb27b3  55fd3941  da2547e6  abca0a9a  28507825  530429f4  0a2c86da  e9b66dfb  
68dc1462  d7486900  680ec0a4  27a18dee  4f3ffea2  e887ad8c  b58ce006  7af4d6b6  
aace1e7c  d3375fec  ce78a399  406b2a42  20fe9e35  d9f385b9  ee39d7ab  3b124e8b  
1dc9faf7  4b6d1856  26a36631  eae397b2  3a6efa74  dd5b4332  6841e7f7  ca7820fb  
fb0af54e  d8feb397  454056ac  ba489527  55533a3a  20838d87  fe6ba9b7  d096954b  
55a867bc  a1159a58  cca92963  99e1db33  a62a4a56  3f3125f9  5ef47e1c  9029317c  
fdf8e802  04272f70  80bb155c  05282ce3  95c11548  e4c66d22  48c1133f  c70f86dc  
07f9c9ee  41041f0f  404779a4  5d886e17  325f51eb  d59bc0d1  f2bcc18f  41113564  
257b7834  602a9c60  dff8e8a3  1f636c1b  0e12b4c2  02e1329e  af664fd1  cad18115  
6b2395e0  333e92e1  3b240b62  eebeb922  85b2a20e  e6ba0d99  de720c8c  2da2f728  
d0127845  95b794fd  647d0862  e7ccf5f0  5449a36f  877d48fa  c39dfd27  f33e8d1e  
0a476341  992eff74  3a6f6eab  f4f8fd37  a812dc60  a1ebddf8  991be14c  db6e6b0d  
c67b5510  6d672c37  2765d43b  dcd0e804  f1290dc7  cc00ffa3  b5390f92  690fed0b  
667b9ffb  cedb7d9c  a091cf0b  d9155ea3  bb132f88  515bad24  7b9479bf  763bd6eb  
37392eb3  cc115979  8026e297  f42e312d  6842ada7  c66a2b3b  12754ccc  782ef11c  
6a124237  b79251e7  06a1bbe6  4bfb6350  1a6b1018  11caedfa  3d25bdd8  e2e1c3c9  
44421659  0a121386  d90cec6e  d5abea2a  64af674e  da86a85f  bebfe988  64e4c3fe  
9dbc8057  f0f7c086  60787bf8  6003604d  d1fd8346  f6381fb0  7745ae04  d736fccc  
83426b33  f01eab71  b0804187  3c005e5f  77a057be  bde8ae24  55464299  bf582e61  
4e58f48f  f2ddfda2  f474ef38  8789bdc2  5366f9c3  c8b38e74  b475f255  46fcd9b9  
7aeb2661  8b1ddf84  846a0e79  915f95e2  466e598e  20b45770  8cd55591  c902de4c  
b90bace1  bb8205d0  11a86248  7574a99e  b77f19b6  e0a9dc09  662d09a1  c4324633  
e85a1f02  09f0be8c  4a99a025  1d6efe10  1ab93d1d  0ba5a4df  a186f20f  2868f169  
dcb7da83  573906fe  a1e2ce9b  4fcd7f52  50115e01  a70683fa  a002b5c4  0de6d027  
9af88c27  773f8641  c3604c06  61a806b5  f0177a28  c0f586e0  006058aa  30dc7d62  
11e69ed7  2338ea63  53c2dd94  c2c21634  bbcbee56  90bcb6de  ebfc7da1  ce591d76  
6f05e409  4b7c0188  39720a3d  7c927c24  86e3725f  724d9db9  1ac15bb4  d39eb8fc  
ed545578  08fca5b5  d83d7cd3  4dad0fc4  1e50ef5e  b161e6f8  a28514d9  6c51133c  
6fd5c7e7  56e14ec4  362abfce  ddc6c837  d79a3234  92638212  670efa8e  406000e0 
